Temp,Hum,Wind,Presure,Solar,ET,radiacion mayor a 500 evento simple,Evento compuesto radiacion solar>500 y evotranspiracion>.2,evento interseccion radiacion solar>500 ET>.2 
"24,1","83,3","0,8","1014,4","505,50","0,28",1,1,
"26,6","74,3","1,6","1013,8","660,67","0,51",1,1,
"27,2","69,3","2,4","1013,1","470,33","0,46",0,0,
"23,1","88,8","2,13","1012,6","207,17","0,15",0,0,
"22,9","90,2","1,87","1011,7","225,17","0,13",0,0,
"23,5",88,"0,53",1011,"231,67","0,15",0,0,
"24,8",82,0,"1010,8","202,33","0,15",0,0,
"24,3","80,7","0,8",1011,"76,67","0,05",0,0,
"23,6",82,"0,53","1011,3","32,17","0,03",0,0,
"22,7","84,2","1,07","1011,6","0,00",0,0,0,
22,"87,2",0,"1012,3","0,00","0,03",0,0,
"21,7","88,3",0,"1013,8","0,00",0,0,0,
"21,7","87,3","0,27","1014,5","0,00","0,03",0,0,
"21,6","88,2","0,27","1014,7","0,00","0,03",0,0,
"21,3","91,7","0,53","1014,6","0,00",0,0,0,
"21,1","92,7",0,"1014,3","0,00",0,0,0,
"20,8",94,0,"1013,8","0,00",0,0,0,
"20,7",95,0,"1013,2","0,00",0,0,0,
"20,7",95,0,1013,"0,00",0,0,0,
"20,6","94,8",0,"1013,3","0,00",0,0,0,
"20,1","94,5",0,"1013,8","1,00",0,0,0,
20,"94,7",0,"1014,4","35,83",0,0,0,
"22,1","89,3",0,"1014,7","160,00","0,08",0,0,
"25,1","77,8","1,6","1014,8","477,33","0,28",0,0,
"26,8","69,5","1,6","1014,9","612,17","0,43",1,1,
"28,6","60,5","1,6","1014,5","809,67","0,58",1,1,
"29,8","55,5","1,87","1013,5","878,50","0,66",1,1,
"31,1","51,8","1,6","1012,7","899,67","0,66",1,1,
"31,5","52,2","2,93",1012,"855,50","0,71",1,1,
"30,5","54,7","4,27","1011,3","679,83","0,58",1,1,
"29,8","56,8","4,53","1010,7","502,67","0,43",1,1,
